"ID","Entry","Line","Acc","Race","Stock","Geo.class","Elevation.class","Group","Lat","Lon","Elevation","Block","ABS_X","ABS_Y","P_code","P_level","Seed_wt_12k","Mites","Stem","Height","Leaf.Area","Spad","Leaf_FW","Root_FW"
"MZ65111",109,"SA_31.Low","ECUA323","","CIMMYTMA-007876","S","L","S.L",-1.786495,-79.274037,98,1,104,781,"P1",1,3.56,1,0.4,17,358.2,27.1,11.02,15.28
"MZ65112",21,"C_4","","","Mo17","C","N","C",NA,NA,NA,1,114,781,"P1",1,3.4,0,0.5,13,202.4,28.4,6.77,5.54
"MZ65113",126,"AN_20","MICH52","CONICO","CIMMYTMA-001467","A","H","A",19.652002,-100.593265,2180,1,123,781,"P1",1,4.19,1,0.5,23,384.1,26.6,13.1,11.66
"MZ65114",43,"Mex_20.High","CHIH515","CONNOR","CIMMYTMA-021154","M","H","M.H",28.55,-107.5,2046,1,133,781,"P1",1,3.71,0,NA,NA,NA,NA,NA,NA
"MZ65115",39,"Mex_19.High","JALI348","CELAYA","CIMMYTMA-016642","M","H","M.H",21.88333333,-101.5833333,2213,1,143,781,"P1",1,4.61,0,0.5,22,279.3,31.9,10.24,10.11
"MZ65116",95,"SA_23.Low","CALD369","","CIMMYTMA-019738","S","L","S.L",5.32,-74.92,840,1,152,781,"P1",1,4.44,1,0.6,13,338.2,32.3,11.99,13.35
"MZ65117",73,"SA_1.High","BOZM0881","","CIMMYTMA-015032","S","H","S.H",-17.55,-65.83333333,2725,1,162,781,"P1",1,4.32,0,0.4,19,266.9,32.4,11,12.09
"MZ65118",40,"Mex_19.Low","NAYA223","BOFO","CIMMYTMA-023971","M","L","M.L",22.274119,-104.469957,648,1,171,781,"P1",1,3.76,1,0.5,10,296.4,27.3,6.8,12.3
"MZ65119",9,"C_2","","","PT","C","N","C",NA,NA,NA,1,181,781,"P1",1,1.84,1,0.5,19,157.3,31.8,5.89,9.43
"MZ65120",61,"Mex_30.Low","QUER50","TUXPEN","CIMMYTMA-000547","M","L","M.L",21.445085,-99.632358,562,1,190,781,"P1",1,7.4,0,0.6,12,283.1,22.4,9.38,15.75
